,num_points,max_iterations,application,num_threads,chunk_size,repeat,runtime,comptime,work
115,5000,1000,withnumba,1,default,1,14.854351874999793,0.015030707999812876,[4314392317]
116,5000,1000,withnumba,1,default,2,14.862196667000262,0.007185915999343706,[4314392317]
117,5000,1000,withnumba,1,default,3,14.863667875000374,0.005714707999231905,[4314392317]
118,5000,1000,withnumba,1,default,4,14.857535624999855,0.011846957999750884,[4314392317]
119,5000,1000,withnumba,1,default,5,14.859445624999807,0.009936957999798324,[4314392317]
120,100,100,withomp,1,default,1,0.0008017499999368738,0.9076930000001084,[206172]
121,100,100,withomp,1,default,2,0.0008007920000636659,0.9076939579999816,[206172]
122,100,100,withomp,1,default,3,0.0007796249997227278,0.9077151250003226,[206172]
123,100,100,withomp,1,default,4,0.0007774160003464203,0.9077173339996989,[206172]
124,100,100,withomp,1,default,5,0.000781499999902735,0.9077132500001426,[206172]
125,100,100,withomp,2,default,1,0.00040758300019660965,5.3666999974666396e-05,[103086 103086]
126,100,100,withomp,2,default,2,0.0004278329997760011,3.3417000395274954e-05,[103086 103086]
127,100,100,withomp,2,default,3,0.00040549999994254904,5.5750000228727004e-05,[103086 103086]
128,100,100,withomp,2,default,4,0.000412583000070299,4.866700010097702e-05,[103086 103086]
129,100,100,withomp,2,default,5,0.00039824999976190156,6.300000040937448e-05,[103086 103086]
130,100,100,withomp,3,default,1,0.0005887089996576833,3.229100047974498e-05,[ 27987 153438  24747]
131,100,100,withomp,3,default,2,0.0005874170001334278,3.3583000004000496e-05,[ 27987 153438  24747]
132,100,100,withomp,3,default,3,0.0005887500001335866,3.2250000003841706e-05,[ 27987 153438  24747]
133,100,100,withomp,3,default,4,0.0005872920000911108,3.3708000046317466e-05,[ 27987 153438  24747]
134,100,100,withomp,3,default,5,0.0005873750001228473,3.362500001458102e-05,[ 27987 153438  24747]
135,100,100,withomp,4,default,1,0.0003695410000545962,2.5624999580031727e-05,[ 8935 94151 94151  8935]
136,100,100,withomp,4,default,2,0.00036820800005443743,2.6957999580190517e-05,[ 8935 94151 94151  8935]
137,100,100,withomp,4,default,3,0.000368125000022701,2.7040999611926964e-05,[ 8935 94151 94151  8935]
138,100,100,withomp,4,default,4,0.00036820800005443743,2.6957999580190517e-05,[ 8935 94151 94151  8935]
139,100,100,withomp,4,default,5,0.00037274999976943946,2.2415999865188496e-05,[ 8935 94151 94151  8935]
140,100,100,withomp,5,default,1,0.0004137079999964044,2.4166999992303317e-05,[  4973  45390 105446  45390   4973]
141,100,100,withomp,5,default,2,0.0004130419997636636,2.483300022504409e-05,[  4973  45390 105446  45390   4973]
142,100,100,withomp,5,default,3,0.0004040829999212292,3.379200006747851e-05,[  4973  45390 105446  45390   4973]
143,100,100,withomp,5,default,4,0.00041029200019693235,2.7582999791775364e-05,[  4973  45390 105446  45390   4973]
144,100,100,withomp,5,default,5,0.0004125000000385626,2.537499995014514e-05,[  4973  45390 105446  45390   4973]
145,100,100,withomp,6,default,1,0.0003297919997748977,1.716599990686518e-05,[ 3878 24109 81096 75522 18021  3546]
146,100,100,withomp,6,default,2,0.00032958400015559164,1.7373999526171247e-05,[ 3878 24109 81096 75522 18021  3546]
