,num_points,max_iterations,application,num_threads,chunk_size,repeat,runtime
110,5000,500,withnumba,1,default,1,7.677303665999716
111,5000,500,withnumba,1,default,2,7.693698915999448
112,5000,500,withnumba,1,default,3,7.674154790999637
113,5000,500,withnumba,1,default,4,7.668099458999677
114,5000,500,withnumba,1,default,5,7.665336375000152
115,5000,1000,withnumba,1,default,1,14.988469334000001
116,5000,1000,withnumba,1,default,2,14.996051707999868
117,5000,1000,withnumba,1,default,3,15.003233749999708
118,5000,1000,withnumba,1,default,4,15.2098114169994
119,5000,1000,withnumba,1,default,5,14.87325037500068
120,100,100,withomp,1,default,1,0.0007877500001995941
121,100,100,withomp,1,default,2,0.0007275420002770261
122,100,100,withomp,1,default,3,0.0007236250003188616
123,100,100,withomp,1,default,4,0.0007202079996204702
124,100,100,withomp,1,default,5,0.0007388340000034077
125,100,100,withomp,2,default,1,0.00045583300016005524
126,100,100,withomp,2,default,2,0.0003820000001724111
127,100,100,withomp,2,default,3,0.0003795420007008943
128,100,100,withomp,2,default,4,0.0003773340004045167
129,100,100,withomp,2,default,5,0.0003768340002352488
130,100,100,withomp,3,default,1,0.0002864580001187278
131,100,100,withomp,3,default,2,0.0002610420006021741
132,100,100,withomp,3,default,3,0.00037083300048834644
133,100,100,withomp,3,default,4,0.00028454200037231203
134,100,100,withomp,3,default,5,0.000262333000137005
135,100,100,withomp,4,default,1,0.00023204200078907888
136,100,100,withomp,4,default,2,0.00020637499983422458
137,100,100,withomp,4,default,3,0.00019645900010800688
138,100,100,withomp,4,default,4,0.0001960419995157281
139,100,100,withomp,4,default,5,0.00019579199943109415
140,100,100,withomp,5,default,1,0.00018833400008588796
141,100,100,withomp,5,default,2,0.00015929100027278764
142,100,100,withomp,5,default,3,0.00015770900063216686
143,100,100,withomp,5,default,4,0.00015754200012452202
144,100,100,withomp,5,default,5,0.00015770899972267216
145,100,100,withomp,6,default,1,0.00015729200003988808
146,100,100,withomp,6,default,2,0.00013466700056596892
147,100,100,withomp,6,default,3,0.00013337499967747135
148,100,100,withomp,6,default,4,0.00014325000029202783
149,100,100,withomp,6,default,5,0.00022012499994161772
150,100,100,withomp,7,default,1,0.00024987500000861473
151,100,100,withomp,7,default,2,0.00011729199923138367
152,100,100,withomp,7,default,3,0.00013683300039701862
153,100,100,withomp,7,default,4,0.00014437499976338586
154,100,100,withomp,7,default,5,0.00012166600026830565
155,100,100,withomp,8,default,1,0.0002492500007065246
156,100,100,withomp,8,default,2,0.00027908399988518795
157,100,100,withomp,8,default,3,0.00021512500006792834
158,100,100,withomp,8,default,4,0.0002040840008703526
159,100,100,withomp,8,default,5,0.00015629199970135232
